id,title,original_language,release_date,overview,popularity,vote_average,vote_count,genre_ids,poster_url
663712,Terrifier 2,en,2022-10-06,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",10.2916,6.713,2265,"27,53",https://image.tmdb.org/t/p/w500/qEAlwXbYk6IHA4ztoS2XFFaa7Xo.jpg
529203,The Croods: A New Age,en,2020-11-25,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",10.4298,7.467,3943,"16,10751,12,14,35",https://image.tmdb.org/t/p/w500/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg
927,Gremlins,en,1984-06-08,"After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town.",9.1249,7.134,6578,"14,27,35",https://image.tmdb.org/t/p/w500/6m0F7fsXjQvUbCZrPWcJNrjvIui.jpg
85430,Girl Play,en,2004-07-11,"Two real-life lesbian actresses meet by chance when they are cast as lovers in a local stage play, and end up actually falling in love. Robin, who is married to her girlfriend for half a dozen years, and Lacie, someone who never had a lasting relationship, are both cast to play lesbian lovers in a Los Angeles stage play. Innocently, the stage director, Gabriel runs the actresses through a series of rehearsals designed to ""bring out the intimacy"" in each performer. Soon the two women find themselves increasingly and undeniably attracted to each other and overcome with desire. They must ask themselves whether this relationship is manufactured, created for the sake of the ""girl play"", or is true love.",10.3706,5.9,26,"35,10749",https://image.tmdb.org/t/p/w500/8JoDrayY503p5a0vWZZFHbS9nD9.jpg
1186940,Cheer to Life,pt,2025-01-30,"Jéssica (Thati Lopes) is a simple young woman, dedicated to her job at an antique shop in Rio de Janeiro, but she feels her life lacks purpose. Everything changes when she finds a mysterious locket identical to an item she inherited from her late mother. Driven by the desire to understand the connection between the locket and her family history, Jéssica teams up with Gabriel (Rodrigo Simas), a distant relative who appears unexpectedly.",9.2304,6.4,15,"35,18,10749",https://image.tmdb.org/t/p/w500/fIjIEZ8ug2pLGbV2JiKytZyj2NG.jpg
137113,Edge of Tomorrow,en,2014-05-27,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",9.5872,7.631,14262,"28,878",https://image.tmdb.org/t/p/w500/nBM9MMa2WCwvMG4IJ3eiGUdbPe6.jpg
1734,The Mummy Returns,en,2001-05-04,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.",8.9592,6.4,7243,"12,28,14",https://image.tmdb.org/t/p/w500/kdJsW7hcy1lrj7tdMPycTAQPAiR.jpg
545609,Extraction,en,2020-04-23,A hardened gun-for-hire's latest mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,10.6253,7.315,6268,"28,53",https://image.tmdb.org/t/p/w500/nygOUcBKPHFTbxsYRFZVePqgPK6.jpg
335797,Sing,en,2016-11-23,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,10.1845,7.119,8135,"10751,35,10402,16",https://image.tmdb.org/t/p/w500/b8UiFXwMrSXVTHM0fb2twl8uE8a.jpg
1359,American Psycho,en,2000-04-13,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",9.622,7.4,11432,"53,18,80",https://image.tmdb.org/t/p/w500/9uGHEgsiUXjCNq8wdq4r49YL8A1.jpg
